    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
    3    4         1    2       -0.20063        246.647        245.660         0.49999E+02    0.49999E+02    0
    4    5         1    2       -0.08300        237.856        237.461         0.49975E+02    0.49975E+02    0
    5    6         1    2       -0.48855        241.088        238.736         0.49848E+02    0.49848E+02    0
    6    7         1    2        0.59125        238.795        241.671         0.49388E+02    0.49388E+02    0
    7    8         1    2       -2.19007        267.003        255.224         0.48540E+02    0.48540E+02    0
    8    9         1    2       -1.37883        269.593        261.726         0.46558E+02    0.46558E+02    0
    4    5         2    3       -0.62851        247.620        244.526         0.49999E+02    0.49999E+02    0
    5    6         2    3       -0.39769        235.470        233.604         0.49974E+02    0.49974E+02    0
    6    7         2    3       -0.85579        233.963        229.980         0.49839E+02    0.49839E+02    0
    7    8         2    3        0.83550        235.145        239.158         0.49370E+02    0.49370E+02    0
    8    9         2    3       -0.59429        246.194        243.183         0.48296E+02    0.48296E+02    0
    9   10         2    3       -2.01273        266.913        255.605         0.46496E+02    0.46496E+02    0
    5    6         3    4        0.14836        240.322        241.036         0.49998E+02    0.49998E+02    0
    6    7         3    4       -0.67724        236.390        233.208         0.49975E+02    0.49975E+02    0
    7    8         3    4       -0.46526        241.135        238.894         0.49848E+02    0.49848E+02    0
    8    9         3    4        0.33161        239.229        240.841         0.49390E+02    0.49390E+02    0
    9   10         3    4       -1.02234        258.268        252.875         0.48444E+02    0.48444E+02    0
   10   11         3    4       -1.69668        266.567        257.013         0.46488E+02    0.46488E+02    0
    6    7         4    5       -0.58653        243.762        240.919         0.49999E+02    0.49999E+02    0
    7    8         4    5       -1.07425        245.228        240.013         0.49976E+02    0.49976E+02    0
    8    9         4    5       -0.50217        237.884        235.500         0.49844E+02    0.49844E+02    0
    9   10         4    5        1.76951        235.062        243.640         0.49369E+02    0.49369E+02    0
   10   11         4    5       -0.89505        250.295        245.704         0.48349E+02    0.48349E+02    0
   11   12         4    5       -1.95356        271.145        260.012         0.46594E+02    0.46594E+02    0
    7    8         5    6        0.30867        244.280        245.792         0.49999E+02    0.49999E+02    0
    8    9         5    6       -0.80524        240.272        236.432         0.49975E+02    0.49975E+02    0
    9   10         5    6       -1.16391        245.215        239.556         0.49853E+02    0.49853E+02    0
   10   11         5    6        1.44468        231.075        237.940         0.49348E+02    0.49348E+02    0
   11   12         5    6        0.37431        248.809        250.744         0.48330E+02    0.48330E+02    0
   12   13         5    6       -3.24761        284.437        265.398         0.46876E+02    0.46876E+02    0
    8    9         6    7       -0.40430        246.187        244.204         0.49999E+02    0.49999E+02    0
    9   10         6    7       -1.20436        247.169        241.283         0.49977E+02    0.49977E+02    0
   10   11         6    7       -0.19388        232.545        231.642         0.49837E+02    0.49837E+02    0
   11   12         6    7        0.21297        238.454        239.484         0.49387E+02    0.49387E+02    0
   12   13         6    7        0.64677        249.184        252.541         0.48335E+02    0.48335E+02    0
   13   14         6    7       -1.76062        271.581        261.512         0.46604E+02    0.46604E+02    0
    9   10         7    8        0.29192        241.745        243.161         0.49998E+02    0.49998E+02    0
   10   11         7    8       -1.17493        234.368        228.922         0.49974E+02    0.49974E+02    0
   11   12         7    8       -0.15301        231.562        230.852         0.49835E+02    0.49835E+02    0
   12   13         7    8        0.70431        238.032        241.451         0.49384E+02    0.49384E+02    0
   13   14         7    8        0.89706        245.513        250.116         0.48287E+02    0.48287E+02    0
   14   15         7    8       -2.66427        287.390        271.530         0.46934E+02    0.46934E+02    0
   10   11         8    9       -0.32309        246.018        244.433         0.49999E+02    0.49999E+02    0
   11   12         8    9       -0.94927        239.574        235.066         0.49975E+02    0.49975E+02    0
   12   13         8    9        0.06321        237.160        237.461         0.49843E+02    0.49843E+02    0
   13   14         8    9       -0.03896        241.915        241.724         0.49404E+02    0.49404E+02    0
   14   15         8    9       -0.72824        266.026        262.064         0.48530E+02    0.48530E+02    0
   11   12         9   10       -0.01942        242.457        242.362         0.49998E+02    0.49998E+02    0
   12   13         9   10       -0.69825        239.523        236.200         0.49975E+02    0.49975E+02    0
   13   14         9   10       -0.85560        237.830        233.782         0.49844E+02    0.49844E+02    0
   14   15         9   10        1.75124        243.038        251.807         0.49409E+02    0.49409E+02    0
   15   16         9   10       -0.59496        271.574        268.269         0.48587E+02    0.48587E+02    0
   16   17         9   10       -2.38982        298.930        284.155         0.47147E+02    0.47147E+02    0
   12   13        10   11       -0.59127        253.302        250.324         0.49999E+02    0.49999E+02    0
   13   14        10   11       -0.26744        234.668        233.416         0.49974E+02    0.49974E+02    0
   14   15        10   11       -0.02751        243.149        243.015         0.49850E+02    0.49850E+02    0
   15   16        10   11       -0.30947        258.435        256.823         0.49476E+02    0.49476E+02    0
   16   17        10   11       -1.15218        279.846        273.298         0.48666E+02    0.48666E+02    0
   13   14        11   12       -0.32940        243.594        241.994         0.49999E+02    0.49999E+02    0
   14   15        11   12        0.24699        236.892        238.066         0.49975E+02    0.49975E+02    0
   15   16        11   12       -0.79853        250.219        246.243         0.49859E+02    0.49859E+02    0
   16   17        11   12        0.20389        261.535        262.615         0.49489E+02    0.49489E+02    0
   17   18        11   12       -1.58772        295.912        286.439         0.48802E+02    0.48802E+02    0
   14   15        12   13       -0.94584        251.176        246.469         0.49999E+02    0.49999E+02    0
   15   16        12   13        0.21384        237.984        239.005         0.49975E+02    0.49975E+02    0
   16   17        12   13       -0.68510        253.671        250.210         0.49863E+02    0.49863E+02    0
   17   18        12   13       -0.16683        273.531        272.612         0.49532E+02    0.49532E+02    0
   15   16        13   14       -0.71518        243.140        239.687         0.49998E+02    0.49998E+02    0
   16   17        13   14       -0.05736        240.014        239.739         0.49975E+02    0.49975E+02    0
   17   18        13   14        1.05668        251.249        256.631         0.49860E+02    0.49860E+02    0
   18   19        13   14       -2.10610        284.591        272.752         0.49567E+02    0.49567E+02    0
   16   17        14   15       -0.00916        234.513        234.470         0.49998E+02    0.49998E+02    0
   17   18        14   15       -0.17135        242.368        241.539         0.49976E+02    0.49976E+02    0
   18   19        14   15        0.42920        252.507        254.690         0.49861E+02    0.49861E+02    0
   19   20        14   15       -1.02101        275.735        270.110         0.49539E+02    0.49539E+02    0
   17   18        15   16       -1.02674        248.198        243.153         0.49999E+02    0.49999E+02    0
   18   19        15   16        0.86192        237.420        241.551         0.49975E+02    0.49975E+02    0
   19   20        15   16       -0.22992        254.960        253.787         0.49864E+02    0.49864E+02    0
   20   21        15   16       -1.04576        270.201        264.555         0.49520E+02    0.49520E+02    0
   18   19        16   17       -0.63367        240.668        237.637         0.49998E+02    0.49998E+02    0
   19   20        16   17        0.22801        238.487        239.577         0.49975E+02    0.49975E+02    0
   20   21        16   17        0.01562        249.894        249.973         0.49858E+02    0.49858E+02    0
   21   22        16   17       -1.06385        267.054        261.377         0.49509E+02    0.49509E+02    0
   19   20        17   18        0.16910        235.383        236.181         0.49998E+02    0.49998E+02    0
   20   21        17   18        0.20907        242.455        243.472         0.49976E+02    0.49976E+02    0
   21   22        17   18       -0.44906        255.930        253.635         0.49865E+02    0.49865E+02    0
   22   23        17   18       -2.30781        281.177        268.383         0.49557E+02    0.49557E+02    0
   20   21        18   19       -1.36856        246.752        240.089         0.49999E+02    0.49999E+02    0
   21   22        18   19       -0.28187        242.972        241.605         0.49976E+02    0.49976E+02    0
   22   23        18   19        0.77302        249.316        253.212         0.49858E+02    0.49858E+02    0
   23   24        18   19       -0.82591        275.016        270.469         0.49537E+02    0.49537E+02    0
   21   22        19   20       -0.21202        239.437        238.424         0.49998E+02    0.49998E+02    0
   22   23        19   20        0.59049        236.900        239.715         0.49975E+02    0.49975E+02    0
   23   24        19   20       -0.20761        253.668        252.614         0.49863E+02    0.49863E+02    0
   24   25        19   20       -1.78645        275.111        265.367         0.49537E+02    0.49537E+02    0
   22   23        20   21       -0.96892        241.236        236.607         0.49998E+02    0.49998E+02    0
   23   24        20   21       -0.65939        242.487        239.309         0.49976E+02    0.49976E+02    0
   24   25        20   21        0.32294        245.289        246.883         0.49853E+02    0.49853E+02    0
   23   24        21   22       -0.35366        237.815        236.139         0.49998E+02    0.49998E+02    0
   24   25        21   22       -0.11118        239.095        238.564         0.49975E+02    0.49975E+02    0
   24   25        22   23       -0.01906        234.414        234.325         0.49998E+02    0.49998E+02    0
